CBOP,Suburb,Population
England,Dolls Point,33.0
England,Doonside,165.0
England,Dooralong,15.0
England,Double Bay,264.0
England,Douglas Park,55.0
England,Dover Heights,138.0
England,Doyalson,13.0
England,Doyalson North,48.0
England,Drummoyne,514.0
England,Duffys Forest,49.0
England,Dulwich Hill,472.0
England,Dundas (NSW),82.0
England,Dundas Valley,85.0
England,Dural (Hornsby - NSW),333.0
England,Durren Durren,6.0
England,Eagle Vale,103.0
England,Earlwood,288.0
England,East Gosford,204.0
England,East Hills,65.0
England,East Killara,156.0
England,East Kurrajong,50.0
England,East Lindfield,244.0
England,East Ryde,84.0
England,Eastern Creek,7.0
England,Eastgardens,24.0
England,Eastlakes,80.0
England,Eastwood (NSW),224.0
England,Ebenezer (NSW),42.0
England,Edensor Park,38.0
England,Edgecliff,189.0
England,Edmondson Park,20.0
England,Elanora Heights,294.0
England,Elderslie (Camden - NSW),227.0
England,Elizabeth Bay,319.0
England,Elizabeth Hills,14.0
England,Ellis Lane,35.0
England,Elvina Bay,3.0
England,Emerton,45.0
England,Empire Bay,110.0
England,Emu Heights (NSW),128.0
England,Emu Plains,426.0
England,Enfield (NSW),40.0
England,Engadine,676.0
England,Englorie Park,5.0
England,Enmore (Inner West - NSW),188.0
England,Epping (NSW),410.0
England,Erina,388.0
England,Erina Heights,17.0
England,Ermington,207.0
England,Erskine Park,150.0
England,Erskineville,570.0
England,Eschol Park,67.0
England,Ettalong Beach,227.0
England,Eveleigh,22.0
England,Fairfield (NSW),47.0
England,Fairfield East,21.0
England,Fairfield Heights,26.0
England,Fairfield West,85.0
England,Fairlight,692.0
England,Faulconbridge,209.0
England,Fernances,0.0
England,Fiddletown,12.0
England,Five Dock,272.0
England,Forest Glen (NSW),0.0
England,Forest Lodge,230.0
England,Forestville (NSW),497.0
England,Forresters Beach,137.0
England,Fountaindale,56.0
England,Freemans Reach,50.0
England,Frenchs Forest,949.0
England,Freshwater (NSW),790.0
England,Galston,157.0
England,Georges Hall,90.0
England,Gilead,20.0
England,Girraween (NSW),57.0
England,Gladesville,371.0
England,Glebe (NSW),528.0
England,Gledswood Hills,0.0
England,Glen Alpine,183.0
England,Glenbrook,266.0
England,Glendenning,39.0
England,Glenfield (NSW),152.0
England,Glenhaven,333.0
England,Glenmore (NSW),14.0
England,Glenmore Park,812.0
England,Glenning Valley,81.0
England,Glenorie,134.0
England,Glenwood (NSW),269.0
England,Glenworth Valley,0.0
England,Glossodia,82.0
England,Gordon (NSW),343.0
England,Gorokan,283.0
England,Gosford,100.0
England,Granville (NSW),56.0
England,Grasmere,115.0
England,Grays Point,135.0
England,Great Mackerel Beach,4.0
England,Green Point (Central Coast - NSW),445.0
England,Green Point (Gosford - NSW),0.0
England,Green Valley (NSW),47.0
England,Greenacre,102.0
England,Greendale (Liverpool - NSW),3.0
England,Greenfield Park,21.0
England,Greengrove,0.0
England,Greenhills Beach,32.0
England,Greenwich,309.0
England,Gregory Hills,76.0
England,Greystanes,320.0
England,Grose Vale,62.0
England,Grose Wold,33.0
England,Guildford (NSW),107.0
England,Guildford West,46.0
England,Gunderman,10.0
England,Gwandalan,96.0
England,Gymea,321.0
England,Gymea Bay,275.0
England,Haberfield,177.0
England,Halekulani,103.0
England,Halloran,0.0
England,Hamlyn Terrace,235.0
England,Hammondville,113.0
England,Hardys Bay,13.0
England,Harrington Park,341.0
England,Harris Park,23.0
England,Hassall Grove,41.0
England,Hawkesbury Heights,23.0
England,Haymarket,95.0
England,Hazelbrook,274.0
England,Heathcote (NSW),238.0
England,Hebersham,107.0
England,Heckenberg,23.0
England,Henley,16.0
England,Higher Macdonald,0.0
England,Hillsdale,105.0
England,Hinchinbrook (NSW),58.0
England,Hobartville (NSW),97.0
England,Holgate,58.0
England,Holroyd,16.0
England,Holsworthy,69.0
England,Homebush (NSW),51.0
England,Homebush West,43.0
England,Horningsea Park,48.0
England,Hornsby,667.0
England,Hornsby Heights,405.0
England,Horsfield Bay,40.0
England,Horsley Park,17.0
England,Hoxton Park,23.0
England,Hunters Hill,380.0
England,Huntleys Cove,46.0
England,Huntleys Point,0.0
England,Hurlstone Park,114.0
England,Hurstville,146.0
England,Hurstville Grove,30.0
England,Illawong,196.0
England,Ingleburn,392.0
England,Ingleside,43.0
England,Jamisontown,260.0
England,Jannali,244.0
England,Jilliby,55.0
England,Jordan Springs,115.0
England,Kangaroo Point (NSW),4.0
England,Kangy Angy,14.0
England,Kanwal,138.0
England,Kareela,109.0
England,Kariong,313.0
England,Katoomba,441.0
England,Kearns,65.0
England,Kellyville,849.0
England,Kellyville Ridge,205.0
England,Kemps Creek,26.0
England,Kensington (NSW),368.0
England,Kenthurst,206.0
England,Kentlyn,21.0
England,Kiar,0.0
England,Killara (NSW),502.0
England,Killarney Heights,284.0
England,Killarney Vale,210.0
England,Killcare,25.0
England,Killcare Heights,60.0
England,Kincumber,461.0
England,Kincumber South,87.0
England,Kingfisher Shores,7.0
