Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"BPLP - 4 Digit Level and SSC (UR) by GCCSA (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"
"GCCSA (UR)","Greater Sydney"


"BPLP - 4 Digit Level","SSC (UR)",
,"Bearbong",0,
,"Beaumont (NSW)",0,
,"Beaumont Hills",293,
,"Beckom",0,
,"Bective",0,
,"Bectric",0,
,"Bedgerabong",0,
,"Beechwood",0,
,"Beecroft",291,
,"Beecroft Peninsula",0,
,"Beelbangera",0,
,"Beemunnel",0,
,"Bega",0,
,"Beggan Beggan",0,
,"Belanglo",0,
,"Belbora",0,
,"Belfield",56,
,"Belford",0,
,"Belfrayden",0,
,"Belgravia",0,
,"Belimbla Park",23,
,"Bell (NSW)",4,
,"Bella Vista",182,
,"Bellambi",0,
,"Bellangry",0,
,"Bellata",0,
,"Bellawongarah",0,
,"Bellbird",0,
,"Bellbird Heights",0,
,"Bellbrook",0,
,"Bellevue Hill",622,
,"Bellimbopinni",0,
,"Bellingen",0,
,"Bellmount Forest",0,
,"Belltrees",0,
,"Belmont (NSW)",0,
,"Belmont North",0,
,"Belmont South",0,
,"Belmore",89,
,"Belmore River",0,
,"Beloka",0,
,"Belowra",0,
,"Belrose",649,
,"Bemboka",0,
,"Ben Bullen",0,
,"Ben Lomond (NSW)",0,
,"Benandarah",0,
,"Bendalong",0,
,"Bendemeer",0,
,"Bendick Murrell",0,
,"Bendolba",0,
,"Bendoura",0,
,"Benerembah",0,
,"Bengalla",0,
,"Bennetts Green",0,
,"Benolong",0,
,"Bensville",152,
,"Bentley (NSW)",0,
,"Berala",35,
,"Berambing",4,
,"Beresfield",0,
,"Bergalia",0,
,"Berkeley",0,
,"Berkeley Vale",315,
,"Berkshire Park",23,
,"Berlang",0,
,"Bermagui",0,
,"Berowra",336,
,"Berowra Creek",0,
,"Berowra Heights",369,
,"Berowra Waters",9,
,"Berrambool",0,
,"Berrara",0,
,"Berremangra",0,
,"Berrico",0,
,"Berridale",0,
,"Berrigal",0,
,"Berrigan",0,
,"Berrilee",13,
,"Berrima",0,
,"Berringer Lake",0,
,"Berry",0,
,"Berry Jerry",0,
,"Berry Mountain",0,
,"Berry Park",0,
,"Berthong",0,
