Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"BPLP - 4 Digit Level and SSC (UR) by GCCSA (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"
"GCCSA (UR)","Greater Sydney"


"BPLP - 4 Digit Level","SSC (UR)",
,"Shoal Bay (NSW)",0,
,"Shoalhaven Heads",0,
,"Shooters Hill",0,
,"Shortland",0,
,"Silent Grove",0,
,"Silverdale (NSW)",105,
,"Silverton (NSW)",0,
,"Silverwater (Lake Macquarie - NSW)",0,
,"Silverwater (Parramatta - NSW)",31,
,"Simpkins Creek",0,
,"Singleton (NSW)",0,
,"Singleton Heights",0,
,"Singleton Military Area",0,
,"Singletons Mill",0,
,"Six Mile Swamp",0,
,"Skennars Head",0,
,"Skillion Flat",0,
,"Skinners Shoot",0,
,"Sleepy Hollow",0,
,"Smeaton Grange",0,
,"Smithfield (NSW)",107,
,"Smiths Creek (Clarence Valley - NSW)",0,
,"Smiths Creek (Kyogle - NSW)",0,
,"Smiths Creek (Tweed - NSW)",0,
,"Smiths Lake",0,
,"Smithtown",0,
,"Snakes Plain",0,
,"Snowball",0,
,"Snowy Plain",0,
,"Sodwalls",0,
,"Sofala",0,
,"Soldiers Point",0,
,"Somersby",47,
,"Somerton (NSW)",0,
,"South Albury",0,
,"South Arm (Clarence Valley - NSW)",0,
,"South Arm (Nambucca - NSW)",0,
,"South Ballina",0,
,"South Bathurst",0,
,"South Bowenfels",0,
,"South Coogee",277,
,"South Durras",0,
,"South Golden Beach",0,
,"South Grafton",0,
,"South Granville",20,
,"South Gundagai",0,
,"South Gundurimba",0,
,"South Guyra",0,
,"South Hurstville",40,
,"South Kempsey",0,
,"South Lismore",0,
,"South Littleton",0,
,"South Maitland",0,
,"South Maroota",21,
,"South Murwillumbah",0,
,"South Nowra",0,
,"South Pambula",0,
,"South Penrith",528,
,"South Tamworth",0,
,"South Turramurra",184,
,"South Wentworthville",49,
,"South West Rocks",0,
,"South Windsor",210,
,"South Wolumla",0,
,"Southampton (NSW)",0,
,"Southgate",0,
,"Speers Point",0,
,"Speewa",0,
,"Spencer",11,
,"Spicers Creek",0,
,"Spicketts Creek",0,
,"Splitters Creek",0,
,"Spring Creek (NSW)",0,
,"Spring Farm (NSW)",120,
,"Spring Flat",0,
,"Spring Grove",0,
,"Spring Hill (Cabonne - NSW)",0,
,"Spring Hill (Wollongong - NSW)",0,
,"Spring Mountain (NSW)",0,
,"Spring Plains",0,
,"Spring Ridge",0,
,"Spring Terrace",0,
,"Springdale (NSW)",0,
,"Springdale Heights",0,
,"Springfield (Central Coast - NSW)",210,
,"Springfield (Snowy Monaro Regional - NSW)",0,
,"Springrange",0,
,"Springside (NSW)",0,
,"Springvale (Lithgow - NSW)",0,
,"Springvale (Wagga Wagga - NSW)",0,
,"Springwood (NSW)",581,
,"St Albans (NSW)",15,
,"St Andrews (NSW)",131,
,"St Clair (Penrith - NSW)",486,
,"St Clair (Singleton - NSW)",0,
,"St Fillans",0,
,"St George (NSW)",0,
,"St Georges Basin",0,
,"St Helens Park",153,
,"St Huberts Island",44,
,"St Ives (NSW)",1089,
,"St Ives Chase",243,
,"St Johns Park",25,
,"St Leonards (NSW)",209,
,"St Marys (NSW)",217,
,"St Peters (NSW)",159,
,"Stanborough",0,
,"Stanbridge",0,
,"Stanford Merthyr",0,
,"Stanhope (NSW)",0,
,"Stanhope Gardens",226,
,"Stanmore (NSW)",311,
,"Stannifer",0,
,"Stannum",0,
,"Stanwell Park",0,
,"Stanwell Tops",0,
,"State Mine Gully",0,
,"Steam Plains",0,
,"Steeple Flat",0,
,"Stewarts Brook",0,
,"Stewarts River",0,
,"Stockinbingal",0,
,"Stockrington",0,
,"Stockton (NSW)",0,
,"Stockyard Creek (NSW)",0,
,"Stokers Siding",0,
,"Stonehenge (NSW)",0,
,"Stonequarry",0,
,"Stony Chute",0,
,"Stony Creek (Bega Valley - NSW)",0,
,"Stony Creek (Mid-Western Regional - NSW)",0,
,"Stony Crossing",0,
,"Stotts Creek",0,
,"Stratford (NSW)",0,
,"Strathcedar",0,
,"Stratheden",0,
,"Strathfield (NSW)",185,
,"Strathfield South",39,
,"Stroud",0,
,"Stroud Hill",0,
,"Stroud Road",0,
,"Stuart Town",0,
,"Stuarts Point",0,
,"Stubbo",0,
,"Stud Park",0,
,"Suffolk Park",0,
,"Sugarloaf (NSW)",0,
,"Summer Hill (Dungog - NSW)",0,
,"Summer Hill (Inner West - NSW)",258,
,"Summer Hill Creek",0,
,"Summer Island",0,
,"Summerland Point",106,
,"Sun Valley (NSW)",13,
,"Sunny Corner",0,
,"Sunset Strip (NSW)",0,
,"Sunshine (NSW)",0,
,"Sunshine Bay",0,
,"Suntop",0,
,"Surf Beach (NSW)",0,
,"Surfside",0,
,"Surry Hills",1050,
,"Sussex Inlet",0,
,"Sutherland (NSW)",371,
,"Sutton (NSW)",0,
,"Sutton Forest",0,
,"Swan Bay (Port Stephens - NSW)",0,
,"Swan Bay (Richmond Valley - NSW)",0,
,"Swan Creek (NSW)",0,
,"Swan Vale",0,
,"Swanbrook",0,
,"Swanhaven",0,
,"Swans Crossing",0,
,"Swansea (NSW)",0,
,"Swansea Heads",0,
,"Sweetmans Creek",0,
,"Sydenham (NSW)",34,
,"Sydney",383,
,"Sydney Olympic Park",25,
,"Sylvania",288,
,"Sylvania Waters",52,
,"Tabbil Creek",0,
,"Tabbimoble",0,
,"Tabbita",0,
,"Table Top",0,
,"Tabulam",0,
,"Tacoma",18,
,"Tacoma South",20,
,"Tahlee",0,
,"Tahmoor",189,
,"Talarm",0,
,"Talawanta",0,
,"Talbingo",0,
,"Tallawang",0,
,"Tallimba",0,
,"Tallong",0,
,"Tallowal",0,
,"Tallowwood Ridge",0,
,"Tallwood",0,
,"Tallwoods Village",0,
,"Talmalmo",0,
,"Talofa",0,
,"Taloumbi",0,
,"Tamarama",118,
,"Tamban",0,
,"Tambar Springs",0,
,"Tambaroora",0,
,"Taminda",0,
,"Tamworth",0,
,"Tanglewood",0,
,"Tanilba Bay",0,
,"Tanja",0,
,"Tannabar",0,
,"Tannas Mount",0,
,"Tantangara",0,
,"Tantawangalo",0,
,"Tantonan",0,
,"Tapitallee",0,
,"Tara (NSW)",0,
,"Taradale (NSW)",0,
,"Tarago",0,
,"Taralga",0,
,"Tarana",0,
,"Tarban",0,
,"Tarbuck Bay",0,
,"Tarcutta",0,
,"Taree",0,
,"Taree South",0,
,"Taren Point",64,
,"Tarlo",0,
,"Tarraganda",0,
,"Tarrawanna",0,
,"Tarriaro",0,
,"Tarro",0,
,"Tascott",82,
,"Tatham",0,
,"Tathra",0,
,"Tatton",0,
,"Taylors Arm",0,
,"Taylors Beach (NSW)",0,
,"Taylors Flat",0,
,"Tea Gardens",0,
,"Telarah",0,
,"Telegraph Point",0,
,"Telopea",88,
,"Temagog",0,
,"Temora",0,
,"Tempe",97,
,"Ten Mile Hollow",0,
,"Tenambit",0,
,"Tenandra",0,
,"Tennyson (NSW)",19,
,"Tennyson Point",37,
,"Tenterden (NSW)",0,
,"Tenterfield",0,
,"Teralba",0,
,"Terania Creek",0,
,"Terara",0,
,"Teridgerie",0,
,"Termeil",0,
,"Terrabella",0,
,"Terrace Creek",0,
,"Terragon",0,
,"Terramungamine",0,
,"Terranora",0,
,"Terreel",0,
,"Terrey Hills",234,
,"Terrigal",835,
,"Terry Hie Hie",0,
,"Teven",0,
,"Tewinga",0,
,"Texas (NSW)",0,
,"Thalgarrah",0,
,"Tharbogang",0,
,"The Angle",0,
,"The Bight",0,
,"The Branch",0,
,"The Brothers",0,
,"The Channon",0,
,"The Devils Wilderness",0,
,"The Entrance",111,
,"The Entrance North",38,
,"The Freshwater",0,
,"The Gap (Richmond Valley - NSW)",0,
,"The Gap (Wagga Wagga - NSW)",0,
,"The Glen (NSW)",0,
,"The Gulf",0,
,"The Hatch",0,
,"The Hill",0,
,"The Junction",0,
,"The Lagoon",0,
,"The Marra",0,
,"The Meadows",0,
,"The Oaks",100,
,"The Pilliga",0,
,"The Pinnacles",0,
,"The Pocket",0,
,"The Ponds",265,
,"The Ridgeway",0,
,"The Risk",0,
,"The Rock",0,
,"The Rocks (Bathurst Regional - NSW)",0,
,"The Rocks (Sydney - NSW)",32,
,"The Sandon",0,
,"The Slopes",19,
,"The Whiteman",0,
,"Theresa Creek (NSW)",0,
,"Theresa Park",17,
,"Thirldene",0,
,"Thirlmere",180,
,"Thirroul",0,
,"Thora",0,
,"Thornleigh",323,
,"Thornton (NSW)",0,
,"Thrumster",0,
,"Thuddungra",0,
,"Thule",0,
,"Thumb Creek",0,
,"Thurgoona",0,
,"Thyra",0,
,"Tianjara",0,
,"Tibbuc",0,
,"Tibooburra",0,
,"Tichborne",0,
,"Tichular",0,
,"Tighes Hill",0,
,"Tilba Tilba",0,
,"Tilbuster",0,
,"Tilligerry Creek",0,
,"Tilpa",0,
,"Timbarra (NSW)",0,
,"Timbillica",0,
,"Timbumburi",0,
,"Timor (NSW)",0,
,"Tindarey",0,
,"Tinderry",0,
,"Tingha",0,
,"Tingira Heights",0,
,"Tinonee",0,
,"Tinpot",0,
,"Tintenbar",0,
,"Tintinhull",0,
,"Tiona",0,
,"Tipperary (NSW)",0,
,"Tiri",0,
,"Tirrannaville",0,
,"Titaatee Creek",0,
,"Tocal (NSW)",0,
,"Tocumwal",0,
,"Tolland",0,
,"Tolwong",0,
,"Tomago",0,
,"Tomakin",0,
,"Tomalla",0,
,"Tombong",0,
,"Tomboye",0,
,"Tomerong",0,
,"Tomewin",0,
,"Tomingley",0,
,"Tomki",0,
,"Toms Creek",0,
,"Tonderburine",0,
,"Tongarra",0,
,"Toogong",0,
,"Tooleybuc",0,
,"Toolijooa",0,
,"Tooloom",0,
,"Tooloon",0,
,"Tooma",0,
,"Toongabbie (NSW)",196,
,"Toongi",0,
,"Toonumbar",0,
,"Tooranie",0,
,"Tooraweenah",0,
,"Toormina",0,
,"Toorooka",0,
,"Toothdale",0,
,"Tootool",0,
,"Toowoon Bay",28,
,"Topi Topi",0,
,"Toronto",0,
,"Torrington (NSW)",0,
,"Torryburn (Dungog - NSW)",0,
,"Torryburn (Uralla - NSW)",0,
,"Totnes Valley",0,
,"Tottenham (NSW)",0,
,"Touga",0,
,"Toukley",171,
,"Towallum",0,
,"Towamba",0,
,"Townsend",0,
,"Towradgi",0,
,"Towrang",0,
,"Tralee",0,
,"Trangie",0,
,"Tregeagle",0,
,"Tregear",67,
,"Trenayr",0,
,"Trentham Cliffs",0,
,"Trewilga",0,
,"Triamble",0,
,"Triangle Flat",0,
,"Trundle",0,
,"Trungley Hall",0,
,"Trunkey Creek",0,
,"Tubbamurra",0,
,"Tubbul",0,
,"Tucabia",0,
,"Tucki Tucki",0,
,"Tuckombil",0,
,"Tuckurimba",0,
,"Tuena",0,
,"Tuggerah",33,
,"Tuggerawong",38,
,"Tugrabakh",0,
,"Tullakool",0,
,"Tullamore",0,
,"Tullarwalla",0,
,"Tullera",0,
,"Tullibigeal",0,
,"Tullimbar",0,
,"Tulloona",0,
,"Tullymorgan",0,
,"Tumbarumba",0,
,"Tumbi Umbi",263,
,"Tumblong",0,
,"Tumbulgum",0,
,"Tumorrama",0,
,"Tumut",0,
,"Tumut Plains",0,
,"Tuncester",0,
,"Tuncurry",0,
,"Tunglebung",0,
,"Tuntable Creek",0,
,"Tuppal",0,
,"Tura Beach",0,
,"Turill",0,
,"Turlinjah",0,
,"Turners Flat",0,
,"Turondale",0,
,"Tuross",0,
,"Tuross Head",0,
,"Turramurra",768,
,"Turrawan",0,
,"Turrella",30,
,"Turvey Park",0,
,"Tweed Heads",0,
,"Tweed Heads South",0,
,"Tweed Heads West",0,
,"Twelve Mile",0,
,"Twelve Mile Creek",0,
,"Twelve Mile Peg",0,
,"Twenty Forests",0,
,"Twin Rivers",0,
,"Two Mile Flat",0,
,"Tyagarah",0,
,"Tyalgum",0,
,"Tyalgum Creek",0,
,"Tygalgah",0,
,"Tyndale",0,
,"Tyringham",0,
,"Uarbry",0,
,"Uki",0,
,"Ulamambri",0,
,"Ulan",0,
,"Ulladulla",0,
,"Ulmarra",0,
,"Ulong",0,
,"Ultimo",164,
,"Umina Beach",737,
,"Unanderra",0,
,"Underbank",0,
,"Undercliffe",0,
,"Ungarie",0,
,"Unumgar",0,
,"Upper Allyn",0,
,"Upper Bingara",0,
,"Upper Burringbar",0,
,"Upper Bylong",0,
,"Upper Colo",0,
,"Upper Coopers Creek",0,
,"Upper Copmanhurst",0,
,"Upper Corindi",0,
,"Upper Crystal Creek",0,
,"Upper Dartbrook",0,
,"Upper Duck Creek",0,
,"Upper Duroby",0,
,"Upper Eden Creek",0,
,"Upper Fine Flower",0,
,"Upper Growee",0,
,"Upper Horseshoe Creek",0,
,"Upper Horton",0,
,"Upper Kangaroo River",0,
,"Upper Kangaroo Valley",0,
,"Upper Karuah River",0,
,"Upper Lansdowne",0,
,"Upper Macdonald",5,
,"Upper Main Arm",0,
,"Upper Mangrove",0,
,"Upper Manilla",0,
,"Upper Mongogarie",0,
,"Upper Myall",0,
,"Upper Nile",0,
,"Upper Orara",0,
,"Upper Pappinbarra",0,
,"Upper Rollands Plains",0,
,"Upper Rouchel",0,
,"Upper Taylors Arm",0,
,"Upper Tooloom",0,
,"Upper Turon",0,
,"Upper Wilsons Creek",0,
,"Upsalls Creek",0,
,"Uralba",0,
,"Uralla (NSW)",0,
,"Urana",0,
,"Urangeline",0,
,"Urangeline East",0,
,"Uranquinty",0,
,"Urawilkie",0,
,"Urbenville",0,
,"Uriarra",0,
,"Urila",0,
,"Urliup",0,
,"Urunga",0,
,"Utungun",0,
,"Vacy",0,
,"Vale Of Clwydd",0,
,"Valentine",0,
,"Valery",0,
,"Valla",0,
,"Valla Beach",0,
,"Valley Heights",59,
,"Varroville",5,
,"Vaucluse",482,
,"Verges Creek",0,
,"Verona",0,
,"Villawood",31,
,"Vincentia",0,
,"Vineyard",35,
,"Violet Hill",0,
,"Vittoria (NSW)",0,
,"Voyager Point",38,
,"Wadalba",113,
,"Wadbilliga",0,
,"Wadeville",0,
,"Wagga Wagga",0,
,"Wagstaffe",10,
,"Wahroonga",978,
,"Waitara",144,
,"Waitui",0,
,"Wakefield",0,
,"Wakeley",20,
,"Wakool",0,
,"Walang",0,
,"Walbundrie",0,
,"Walcha",0,
,"Walcha Road",0,
,"Waldegrave",0,
,"Walgett",0,
,"Walla Walla",0,
,"Wallabadah",0,
,"Wallabi Point",0,
,"Wallacetown",0,
,"Wallacia",54,
,"Wallaga Lake",0,
,"Wallagoot",0,
,"Wallalong",0,
,"Wallamore",0,
,"Wallanbah",0,
,"Wallangra",0,
,"Wallanthery",0,
,"Wallarah",9,
,"Wallaringa",0,
,"Wallarobba",0,
,"Wallaroo (NSW)",0,
,"Wallendbeen",0,
,"Wallerawang",0,
,"Walleroobie",0,
,"Wallingat",0,
,"Wallis Lake",0,
,"Wallsend",0,
,"Walmer (NSW)",0,
,"Wamban",0,
,"Wambangalang",0,
,"Wamberal",305,
,"Wamboin",0,
,"Wambool",0,
,"Wambrook",0,
,"Wanaaring",0,
,"Wandandian",0,
,"Wandella (NSW)",0,
,"Wandera",0,
,"Wandook",0,
,"Wandsworth",0,
,"Wang Wauk",0,
,"Wanganella",0,
,"Wanganui",0,
,"Wangi Wangi",0,
,"Wantabadgery",0,
,"Wantagong",0,
,"Wantiool",0,
,"Wapengo",0,
,"Warabrook",0,
,"Waratah (NSW)",0,
,"Waratah West",0,
,"Warburn",0,
,"Wardell",0,
,"Wardrop Valley",0,
,"Wards Mistake",0,
,"Wards River",0,
,"Wareemba",42,
,"Warialda",0,
,"Warialda Rail",0,
,"Warilla",0,
,"Warkworth",0,
,"Warners Bay",0,
,"Warnervale",22,
,"Warrabah",0,
,"Warraderry",0,
,"Warragai Creek",0,
,"Warragamba",37,
,"Warragoon",0,
,"Warrah",0,
,"Warrah Creek",0,
,"Warrah Ridge",0,
,"Warral",0,
,"Warranulla",0,
,"Warrawee",207,
,"Warrawidgee",0,
,"Warrawong",0,
,"Warrazambil Creek",0,
,"Warregah Island",0,
,"Warrell Creek",0,
,"Warren",0,
,"Warri",0,
,"Warriewood",537,
,"Warrimoo",106,
,"Warroo (NSW)",0,
,"Warrumbungle",0,
,"Warwick Farm",48,
,"Washpool (Clarence Valley - NSW)",0,
,"Washpool (Mid-Coast - NSW)",0,
,"Watagan",0,
,"Watanobbi",102,
,"Waterfall",23,
,"Waterloo (NSW)",618,
,"Watersleigh",0,
,"Waterview",0,
,"Waterview Heights",0,
,"Watsons Bay",65,
,"Watsons Creek (NSW)",0,
,"Wattamolla",0,
,"Wattamondara",0,
,"Wattle Flat (NSW)",0,
,"Wattle Grove (NSW)",155,
,"Wattle Ponds",0,
,"Wattle Ridge (NSW)",0,
,"Wattle Springs",0,
,"Watton",0,
,"Wauchope",0,
,"Waugorah",0,
,"Waukivory",0,
,"Waverley (NSW)",345,
,"Waverly",0,
,"Waverton",173,
,"Way Way",0,
,"Wayo",0,
,"Weabonga",0,
,"Wean",0,
,"Webbers Creek",0,
,"Webbs Creek",0,
,"Wedderburn (NSW)",29,
,"Wee Jasper",0,
,"Wee Waa",0,
,"Weedallion",0,
,"Weemelah",0,
,"Weetaliba",0,
,"Weethalle",0,
,"Weilmoringle",0,
,"Weismantels",0,
,"Welaregang",0,
,"Welby",0,
,"Wellingrove",0,
,"Wellington (NSW)",0,
,"Wellington Vale",0,
,"Wells Crossing",0,
,"Wendoree Park",4,
,"Wentworth (NSW)",0,
,"Wentworth Falls",394,
,"Wentworth Point",135,
,"Wentworthville",122,
,"Werai",0,
,"Wereboldera",0,
,"Wermatong",0,
,"Werombi",32,
,"Werri Beach",0,
,"Werrikimbe",0,
,"Werrington",103,
,"Werrington County",114,
,"Werrington Downs",114,
,"Werris Creek",0,
,"West Albury",0,
,"West Ballina",0,
,"West Bathurst",0,
,"West Bungawalbin",0,
,"West Coraki",0,
,"West Gosford",69,
,"West Haven",0,
,"West Hoxton",70,
,"West Kempsey",0,
,"West Nowra",0,
,"West Pennant Hills",564,
,"West Pymble",273,
,"West Ryde",212,
,"West Tamworth",0,
,"West Wallsend",0,
,"West Wiangaree",0,
,"West Wollongong",0,
,"West Wyalong",0,
,"Westbrook (NSW)",0,
,"Westdale (Snowy Valleys - NSW)",0,
,"Westdale (Tamworth Regional - NSW)",0,
,"Westleigh",267,
,"Westmead",134,
,"Weston (NSW)",0,
,"Westwood (NSW)",0,
,"Wetherill Park",45,
,"Wetuppa",0,
,"Whalan",95,
,"Whale Beach",14,
,"Wheeler Heights",216,
,"Wheeny Creek",0,
,"Wheeo",0,
,"Wherrol Flat",0,
,"Whian Whian",0,
,"Whiporie",0,
,"White Cliffs",0,
,"White Rock (NSW)",0,
,"Whitebridge",0,
,"Whiteman Creek",0,
,"Whitlow",0,
,"Whittingham",0,
,"Whitton",0,
,"Whoota",0,
,"Wiagdon",0,
,"Wiangaree",0,
,"Wiarborough",0,
,"Wickham (NSW)",0,
,"Widden",0,
,"Widgelli",0,
,"Wilberforce (NSW)",92,
,"Wilbetree",0,
,"Wilcannia",0,
,"Wild Cattle Creek",0,
,"Wildes Meadow",0,
,"Wiley Park",28,
,"Willala",0,
,"Willawarrin",0,
,"Willbriggie",0,
,"Willi Willi",0,
,"Williamsdale",0,
,"Williamtown",0,
,"Willigobung",0,
,"Willina",0,
,"Willmot",68,
,"Willoughby (NSW)",312,
,"Willoughby East",91,
,"Willow Tree",0,
,"Willow Vale (Kiama - NSW)",0,
,"Willow Vale (Wingecarribee - NSW)",0,
,"Willurah",0,
,"Wilpinjong",0,
,"Wilsons Creek",0,
,"Wilton (NSW)",98,
,"Wimbledon",0,
,"Wimborne",0,
,"Winburndale",0,
,"Windale",0,
,"Windang",0,
,"Windella",0,
,"Windellama",0,
,"Windera (NSW)",0,
,"Windermere (NSW)",0,
,"Windermere Park",0,
,"Windeyer (NSW)",0,
,"Windowie",0,
,"Windradyne",0,
,"Windsor (NSW)",66,
,"Windsor Downs",55,
,"Windy",0,
,"Winegrove",0,
,"Wingadee",0,
,"Wingello",0,
,"Wingen",0,
,"Wingham",0,
,"Winifred",0,
,"Winmalee",321,
,"Winston Hills",326,
,"Winton (NSW)",0,
,"Wirlinga",0,
,"Wirraba",0,
,"Wirragulla",0,
,"Wirrimah",0,
,"Wirrimbi",0,
,"Wirrinya",0,
,"Wisemans Creek",0,
,"Wisemans Ferry",7,
,"Wittitrin",0,
,"Wog Wog (Bega Valley - NSW)",0,
,"Wog Wog (Queanbeyan-Palerang Regional - NSW)",0,
,"Woko",0,
,"Wolgan Valley",0,
,"Wollangambe",0,
,"Wollar",0,
,"Wollemi",0,
,"Wolli Creek",97,
,"Wollogorang",0,
,"Wollombi",0,
,"Wollomombi",0,
,"Wollongbar",0,
,"Wollongong",0,
,"Wollstonecraft",518,
,"Wollumboola",0,
,"Wollun",0,
,"Wolumla",0,
,"Wombarra",0,
,"Wombat",0,
,"Wombat Creek (NSW)",0,
,"Wombeyan Caves",0,
,"Womboota",0,
,"Womerah",0,
,"Wonboyn",0,
,"Wonboyn North",0,
,"Wondabyne",0,
,"Wondalga",0,
,"Wongarbon",0,
,"Wongawilli",0,
,"Wongo Creek",0,
,"Wongwibinda",0,
,"Woodberry",0,
,"Woodbine (NSW)",63,
,"Woodburn (Richmond Valley - NSW)",0,
,"Woodburn (Shoalhaven - NSW)",0,
,"Woodcroft (NSW)",52,
,"Woodenbong",0,
,"Woodford (NSW)",130,
,"Woodford Island",0,
,"Woodhill (NSW)",0,
,"Woodhouselee",0,
,"Woodlands (Eurobodalla - NSW)",0,
,"Woodlands (Wingecarribee - NSW)",0,
,"Woodlawn",0,
,"Woodpark",23,
,"Woodrising",0,
,"Woodside (NSW)",0,
,"Woodsreef",0,
,"Woodstock (Cowra - NSW)",0,
,"Woodstock (Inverell - NSW)",0,
,"Woodstock (Shoalhaven - NSW)",0,
,"Woodview",0,
,"Woodville (NSW)",0,
,"Woody Head",0,
,"Woolbrook",0,
,"Woolgarlo",0,
,"Woolgoolga",0,
,"Wooli",0,
,"Woollahra",495,
,"Woollamia",0,
,"Woolloomooloo",246,
,"Woolners Arm",0,
,"Woolomin",0,
,"Woolooma",0,
,"Woolooware",173,
,"Wooloweyah",0,
,"Woolwich",34,
,"Woomargama",0,
,"Woombah",0,
,"Woongarrah",217,
,"Woonona",0,
,"Wootton",0,
,"Wooyung",0,
,"Worlds End (NSW)",0,
,"Woronora",107,
,"Woronora Dam",0,
,"Woronora Heights",128,
,"Worrigee",0,
,"Worrowing Heights",0,
,"Woy Woy",500,
,"Woy Woy Bay",37,
,"Wrathall",0,
,"Wrights Beach",0,
,"Wrights Creek (NSW)",0,
,"Wuuluman",0,
,"Wyalong",0,
,"Wyan",0,
,"Wyanbene",0,
,"Wyangala",0,
,"Wyangle",0,
,"Wybong",0,
,"Wybung",0,
,"Wyee",0,
,"Wyee Point",0,
,"Wylie Creek",0,
,"Wylies Flat",0,
,"Wymah",0,
,"Wyndham (NSW)",0,
,"Wyneden",0,
,"Wyoming",497,
,"Wyong",156,
,"Wyong Creek",21,
,"Wyongah",61,
,"Wyrallah",0,
,"Yabbra",0,
,"Yadboro",0,
,"Yagon",0,
,"Yagoona",87,
,"Yalbraith",0,
,"Yallah",0,
,"Yallaroi",0,
,"Yalwal",0,
,"Yamba (NSW)",0,
,"Yambulla",0,
,"Yanco",0,
,"Yanderra",27,
,"Yanga",0,
,"Yankees Creek",0,
,"Yannergee",0,
,"Yantabulla",0,
,"Yaouk",0,
,"Yarara",0,
,"Yarra",0,
,"Yarrabandai",0,
,"Yarrabin",0,
,"Yarragal",0,
,"Yarragrin",0,
,"Yarragundry",0,
,"Yarrahapinni",0,
,"Yarramalong",25,
,"Yarraman (NSW)",0,
,"Yarramundi",16,
,"Yarranbella",0,
,"Yarrangobilly",0,
,"Yarras (Bathurst Regional - NSW)",0,
,"Yarras (Port Macquarie-Hastings - NSW)",0,
,"Yarratt Forest",0,
,"Yarravel",0,
,"Yarrawa",0,
,"Yarrawarrah",96,
,"Yarrawonga (NSW)",0,
,"Yarrawonga Park",0,
,"Yarrie Lake",0,
,"Yarrow",0,
,"Yarrowford",0,
,"Yarrowitch",0,
,"Yarrowyck",0,
,"Yass",0,
,"Yass River",0,
,"Yathella",0,
,"Yattalunga (NSW)",34,
,"Yatte Yattah",0,
,"Yaven Creek",0,
,"Yelgun",0,
,"Yellow Dam",0,
,"Yellow Pinch",0,
,"Yellow Rock (Blue Mountains - NSW)",47,
,"Yellow Rock (Shellharbour - NSW)",0,
,"Yenda (NSW)",0,
,"Yengo National Park",0,
,"Yennora",16,
,"Yeoval",0,
,"Yerong Creek",0,
,"Yerranderie",0,
,"Yerrinbool",0,
,"Yerriyong",0,
,"Yessabah",0,
,"Yetholme",0,
,"Yetman",0,
,"Yippin Creek",0,
,"Yoogali",0,
,"Yorklea",0,
,"Young",0,
,"Yowie Bay",84,
,"Yowrie",0,
,"Yullundry",0,
,"Yuraygir",0,
,"Zara",0,
,"Zetland",336,
,"No usual address (NSW)",0,
,"Migratory - Offshore - Shipping (NSW)",0,
"Australia","Aarons Pass",0,
,"Abbotsbury",2657,
,"Abbotsford (NSW)",3416,
,"Abercrombie",0,
,"Abercrombie River",0,
,"Aberdare",0,
,"Aberdeen (NSW)",0,
,"Aberfoyle",0,
,"Aberglasslyn",0,
,"Abermain",0,
,"Abernethy",0,
,"Abington (NSW)",0,
,"Acacia Creek",0,
,"Acacia Gardens",2114,
,"Adaminaby",0,
,"Adamstown",0,
,"Adamstown Heights",0,
,"Adelong",0,
,"Adjungbilly",0,
,"Afterlee",0,
,"Agnes Banks",756,
,"Airds",2070,
,"Akolele",0,
,"Albert",0,
,"Albion Park",0,
,"Albion Park Rail",0,
,"Albury",0,
,"Aldavilla",0,
,"Alectown",0,
,"Alexandria",4852,
,"Alfords Point",2346,
,"Alfredtown",0,
,"Alice",0,
,"Alison (Central Coast - NSW)",77,
,"Alison (Dungog - NSW)",0,
,"Allambie Heights",4962,
,"Allandale (NSW)",0,
,"Allawah",1968,
,"Alleena",0,
,"Allgomera",0,
,"Allworth",0,
,"Allynbrook",0,
,"Alma Park",0,
,"Alpine",0,
,"Alstonvale",0,
,"Alstonville",0,
,"Alumy Creek",0,
,"Amaroo (NSW)",0,
,"Ambarvale",4924,
,"Amosfield",0,
,"Anabranch North",0,
,"Anabranch South",0,
,"Anambah",0,
,"Ando",0,
,"Anembo",0,
,"Angledale",0,
,"Angledool",0,
,"Anglers Reach",0,
,"Angourie",0,
,"Anna Bay",0,
,"Annandale (NSW)",6265,
,"Annangrove",1117,
,"Appin (NSW)",2181,
,"Apple Tree Flat",0,
,"Appleby",0,
,"Appletree Flat",0,
,"Apsley (NSW)",0,
,"Arable",0,
,"Arakoon",0,
,"Araluen (NSW)",0,
,"Aratula (NSW)",0,
,"Arcadia (NSW)",1100,
,"Arcadia Vale",0,
,"Ardglen",0,
,"Arding",0,
,"Ardlethan",0,
,"Argalong",0,
,"Argenton",0,
,"Argents Hill",0,
,"Argoon (NSW)",0,
,"Ariah Park",0,
,"Arkell",0,
,"Arkstone",0,
,"Armatree",0,
,"Armidale",0,
,"Arncliffe",4894,
,"Arndell Park",5,
,"Arrawarra",0,
,"Arrawarra Headland",0,
,"Artarmon",4428,
,"Arthurville",0,
,"Arumpo",0,
,"Ashbury",2174,
,"Ashby (NSW)",0,
,"Ashby Heights",0,
,"Ashby Island",0,
,"Ashcroft",1905,
,"Ashfield (NSW)",9216,
,"Ashford (NSW)",0,
,"Ashley",0,
,"Ashmont",0,
,"Ashtonfield",0,
,"Asquith",2132,
,"Atholwood",0,
,"Attunga",0,
